,Location,Site,X,fid,Name,x,y,Day_2022_2022,Month_2022_2022,Year_2022_2022,Start_time_2022_2022,Tidal_height_start_2022_2022,Finish_time_2022_2022,Tidal_height_finish_2022_2022,No.kelp_2022_2022,less_than_10._2022_2022,greater_then_10._2022_2022,Width_less_2m_2022_2022,Width_greater_2m_2022_2022,kelp_2022,Day_2023,Month_2023,Year_2023,Start_time_2023,Tidal_height_start_2023,Finish_time_2023,Tidal_height_finish_2023,Tidal Station_2023,No kelp_2023,less_than_10%_2023,greater_then_10%_2023,Width_less_2m_2023,Width_greater_2m_2023,kelp_2023,kelp_dynamic
1,Crease,1,1,1,1,-126.646641,50.6272795,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1,1,14,9,2023,-2209046100,0.92,1899-12-31 08:27:00,0.98,Cedar Island,0,0,2,0,2,2,persistence
2,Crease,10,10,10,10,-126.6419995,50.6286245,12,9,2022,1899-12-31 07:39:00,1.34,1899-12-31 07:48:00,1.2,0,0,1,0,1,1,14,9,2023,-2209046100,0.92,1899-12-31 08:27:00,0.98,Cedar Island,2,0,0,0,0,0,loss
3,Crease,100,100,100,100,-126.638640936971,50.6132912358265,12,9,2022,1899-12-31 07:48:00,1.2,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044780,0.98,1899-12-31 08:39:00,1.03,Cedar Island,0,0,2,0,2,2,persistence
4,Crease,101,101,101,101,-126.639291430511,50.6134336863109,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,0,2,0,2,2,persistence
5,Crease,102,102,102,102,-126.639979706962,50.613383170235,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,2,0,0,0,0,0,loss
6,Crease,103,103,103,103,-126.64062316133,50.6132081073459,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,2,0,2,0,2,persistence
7,Crease,104,104,104,104,-126.641158514732,50.613309080862,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,0,2,0,2,2,persistence
8,Crease,105,105,105,105,-126.641570600785,50.6136084715043,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,0,2,0,2,2,persistence
9,Crease,106,106,106,106,-126.642412417111,50.6135467687116,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,0,2,0,2,2,persistence
10,Crease,107,107,107,107,-126.643210987845,50.6133293377674,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,0,2,0,2,2,persistence
11,Crease,108,108,108,108,-126.643217471143,50.613016349749,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,2,0,2,0,2,persistence
12,Crease,109,109,109,109,-126.642834064872,50.612757384376,12,9,2022,1899-12-31 08:01:00,1.07,1899-12-31 08:01:00,1.07,0,0,1,0,1,1,14,9,2023,-2209044060,1.04,1899-12-31 08:49:00,1.1,Cedar Island,0,2,0,2,0,2,persistence
