Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-127.73,50.98,PINE ISLAND,1026170,1998-01-01,1998,1,1,,4.5,,0.5,,2.5,,15.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-02,1998,1,2,,4.0,,-0.5,,1.8,,16.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-03,1998,1,3,,5.0,,2.0,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-04,1998,1,4,,4.5,,1.0,,2.8,,15.2,,0.0,,12.2,,0.0,T,12.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-05,1998,1,5,,4.0,,2.0,,3.0,,15.0,,0.0,,8.6,,0.0,,8.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-06,1998,1,6,,5.5,,1.5,,3.5,,14.5,,0.0,,1.6,,0.0,,1.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-07,1998,1,7,,5.0,,2.0,,3.5,,14.5,,0.0,,4.0,,0.0,,4.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-08,1998,1,8,,4.0,,-1.5,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-09,1998,1,9,,3.0,,-1.0,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-10,1998,1,10,,2.5,,-2.5,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-11,1998,1,11,,3.5,,-2.0,,0.8,,17.2,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-12,1998,1,12,,4.5,,0.0,,2.3,,15.7,,0.0,,0.0,C,0.0,,0.0,C,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-13,1998,1,13,,8.5,,1.0,,4.8,,13.2,,0.0,,20.6,A,0.0,T,20.6,A,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-14,1998,1,14,,8.0,,2.5,,5.3,,12.7,,0.0,,17.6,,0.0,,17.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-15,1998,1,15,,8.0,,6.0,,7.0,,11.0,,0.0,,5.0,,0.0,,5.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-16,1998,1,16,,7.5,,6.0,,6.8,,11.2,,0.0,,5.8,,0.0,,5.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-17,1998,1,17,,9.5,,6.0,,7.8,,10.2,,0.0,,0.2,,0.0,,0.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-18,1998,1,18,,9.5,,7.5,,8.5,,9.5,,0.0,,14.8,,0.0,,14.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-19,1998,1,19,,10.0,,7.0,,8.5,,9.5,,0.0,,0.4,,0.0,,0.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-20,1998,1,20,,8.5,,7.0,,7.8,,10.2,,0.0,,1.4,,0.0,,1.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-21,1998,1,21,,8.0,,7.0,,7.5,,10.5,,0.0,,4.2,,0.0,,4.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-22,1998,1,22,,8.5,,6.0,,7.3,,10.7,,0.0,,12.4,,0.0,,12.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-23,1998,1,23,,9.0,,6.5,,7.8,,10.2,,0.0,,18.0,,0.0,,18.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-24,1998,1,24,,9.0,,7.0,,8.0,,10.0,,0.0,,5.8,,0.0,,5.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-25,1998,1,25,,9.0,,7.0,,8.0,,10.0,,0.0,,30.4,,0.0,,30.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-26,1998,1,26,,8.0,,6.5,,7.3,,10.7,,0.0,,12.6,,0.0,,12.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-27,1998,1,27,,8.5,,6.0,,7.3,,10.7,,0.0,,3.6,,0.0,,3.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-28,1998,1,28,,11.0,,7.0,,9.0,,9.0,,0.0,,25.0,,0.0,,25.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-29,1998,1,29,,11.0,,8.0,,9.5,,8.5,,0.0,,2.2,,0.0,,2.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-30,1998,1,30,,10.5,,8.0,,9.3,,8.7,,0.0,,0.2,,0.0,,0.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-01-31,1998,1,31,,13.0,,9.0,,11.0,,7.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-01,1998,2,1,,12.0,,8.0,,10.0,,8.0,,0.0,,1.6,,0.0,,1.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-02,1998,2,2,,10.0,,8.0,,9.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-03,1998,2,3,,7.5,,3.0,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-04,1998,2,4,,8.0,,4.0,,6.0,,12.0,,0.0,,7.2,,0.0,,7.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-05,1998,2,5,,10.5,,7.0,,8.8,,9.2,,0.0,,0.8,,0.0,,0.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-06,1998,2,6,,11.0,,8.5,,9.8,,8.2,,0.0,,3.0,,0.0,,3.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-07,1998,2,7,,11.0,,8.5,,9.8,,8.2,,0.0,,2.2,,0.0,,2.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-08,1998,2,8,,10.0,,8.0,,9.0,,9.0,,0.0,,11.8,,0.0,,11.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-09,1998,2,9,,8.5,,6.0,,7.3,,10.7,,0.0,,0.2,,0.0,,0.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-10,1998,2,10,,8.5,,7.0,,7.8,,10.2,,0.0,,1.0,,0.0,,1.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-11,1998,2,11,,8.5,,7.0,,7.8,,10.2,,0.0,,12.2,,0.0,,12.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-12,1998,2,12,,8.5,,6.0,,7.3,,10.7,,0.0,,20.0,,0.0,,20.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-13,1998,2,13,,9.5,,7.0,,8.3,,9.7,,0.0,,0.8,,0.0,,0.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-14,1998,2,14,,9.0,,7.5,,8.3,,9.7,,0.0,,0.8,,0.0,,0.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-15,1998,2,15,,10.0,,7.0,,8.5,,9.5,,0.0,,0.0,T,0.0,,0.0,T,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-16,1998,2,16,,11.5,,8.5,,10.0,,8.0,,0.0,,0.0,,0.0,,0.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-17,1998,2,17,,10.5,,8.5,,9.5,,8.5,,0.0,,3.8,,0.0,,3.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-18,1998,2,18,,9.5,,7.0,,8.3,,9.7,,0.0,,26.4,,0.0,,26.4,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-19,1998,2,19,,10.0,,6.5,,8.3,,9.7,,0.0,,4.6,,0.0,,4.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-20,1998,2,20,,8.0,,6.5,,7.3,,10.7,,0.0,,24.8,,0.0,,24.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-21,1998,2,21,,6.5,,5.5,,6.0,,12.0,,0.0,,14.2,,0.0,,14.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-22,1998,2,22,,7.5,,4.5,,6.0,,12.0,,0.0,,0.6,,0.0,,0.6,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-23,1998,2,23,,7.0,,3.5,,5.3,,12.7,,0.0,,5.2,,0.0,,5.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-24,1998,2,24,,7.0,,3.5,,5.3,,12.7,,0.0,,8.8,,0.0,,8.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-25,1998,2,25,,8.5,,3.0,,5.8,,12.2,,0.0,,4.2,,0.0,,4.2,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-26,1998,2,26,,7.0,,3.0,,5.0,,13.0,,0.0,,4.8,,0.0,T,4.8,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-27,1998,2,27,,7.5,,3.0,,5.3,,12.7,,0.0,,4.0,,0.0,,4.0,,0,,,,,
-127.73,50.98,PINE ISLAND,1026170,1998-02-28,1998,2,28,,7.5,,3.5,,5.5,,12.5,,0.0,,2.6,,0.0,,2.6,,0,,,,,
